ћарка;ссылка;цена в $;цена в UAH;город
Jeep Compass 2019Longitude 2.4 9ј“ (175 л.с.) AWD;https://auto.ria.com/newauto/auto-jeep-compass-1838277.html;29 900 $;846 660 грн; иев
Jeep Wrangler 2020Individual 3D 2.0i AT (272 л.с.) AWD;https://auto.ria.com/newauto/auto-jeep-wrangler-1838190.html;65 000 $;1 840 566 грн; иев
Jeep Grand Cherokee 2018Individual 3.0TD ј“ (250 л.с.);https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1838297.html;55 000 $;1 557 402 грн; иев
Jeep Grand Cherokee 2021Individual 3.0TD ј“ (250 л.с.);https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1836192.html;60 000 $;1 698 984 грн; иев
Jeep Renegade 2020Limited 1.3i AT (180 л.с.) AWD;https://auto.ria.com/newauto/auto-jeep-renegade-1838198.html;30 000 $;849 492 грн; иев
Jeep Compass 2019Limited 2.4 9ј“ (175 л.с.) AWD;https://auto.ria.com/newauto/auto-jeep-compass-1838186.html;35 900 $;1 016 559 грн; иев
Jeep Wrangler 2020Rubicon Unlimited 2.0i AT (272 л.с.) AWD;https://auto.ria.com/newauto/auto-jeep-wrangler-1846544.html;77 834 $;2 203 971 грн; иев
Jeep Grand Cherokee 2020base SRT 6.4 AT (477 л.с.) AWD;https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1166274.html;98 900 $;2 800 492 грн; иев
Jeep Wrangler 2020Rubicon Unlimited 2.2 CRDI AT (200 л.с.) AWD;https://auto.ria.com/newauto/auto-jeep-wrangler-1830576.html;66 900 $;1 894 367 грн; иев
Jeep Grand Cherokee 2019Limited 3.0TD ј“ (250 л.с.);https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1829809.html;52 000 $;1 411 280 грн;Ћьвов
Jeep Grand Cherokee 2019Limited 3.0TD ј“ (250 л.с.);https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1829808.html;52 000 $;1 411 280 грн;Ћьвов
Jeep Compass 2019Longitude 2.4 9ј“ (175 л.с.) AWD;https://auto.ria.com/newauto/auto-jeep-compass-1829806.html;29 900 $;811 486 грн;Ћьвов
Jeep Compass 2019Trailhawk 2.4 9ј“ (175 л.с.) AWD;https://auto.ria.com/newauto/auto-jeep-compass-1829810.html;34 100 $;925 474 грн;Ћьвов
Jeep Compass 2019Limited 2.4 9ј“ (175 л.с.) AWD;https://auto.ria.com/newauto/auto-jeep-compass-1810690.html;32 200 $;911 904 грн;ќдесса
Jeep Wrangler 2018Sport Unlimited 2.0i AT (272 л.с.) AWD;https://auto.ria.com/newauto/auto-jeep-wrangler-1842436.html;47 700 $;1 350 864 грн;ќдесса
Jeep Compass 2019Longitude 2.4 9ј“ (175 л.с.) AWD;https://auto.ria.com/newauto/auto-jeep-compass-1845839.html;28 950 $;819 864 грн;ќдесса
Jeep Compass 2019Longitude 2.4 9ј“ (175 л.с.) AWD;https://auto.ria.com/newauto/auto-jeep-compass-1842566.html;29 900 $;846 768 грн;ќдесса
Jeep Compass 2019Limited 2.4 9ј“ (175 л.с.) AWD;https://auto.ria.com/newauto/auto-jeep-compass-1817761.html;32 200 $;911 788 грн;’арьков
